2025-07-23 19:41:26 | GET /swagger/v1/swagger.json | Duration: 74.2135ms | Status: 200
2025-07-23 19:41:33 | GET /api/Orders/qty-over10 | Duration: 1963.6453ms | Status: 200
2025-07-23 19:41:37 | GET /api/Orders/qty-over10 | Duration: 48.2826ms | Status: 200
2025-07-23 19:41:44 | GET /api/Customers/top5 | Duration: 67.3544ms | Status: 200
2025-07-23 19:42:00 | GET /api/Customers/top5 | Duration: 17.7833ms | Status: 200
2025-07-23 19:42:20 | GET /info.html | Duration: 3.7349ms | Status: 304
2025-07-23 20:11:24 | GET /swagger/v1/swagger.json | Duration: 80.5953ms | Status: 200
2025-07-23 20:11:41 | GET /api/Customers/top5 | Duration: 1922.0995ms | Status: 200
2025-07-23 20:12:24 | GET /swagger/index.html | Duration: 82.6958ms | Status: 200
2025-07-23 20:12:24 | GET /swagger/v1/swagger.json | Duration: 63.6382ms | Status: 200
2025-07-23 20:12:29 | GET /api/Customers/top5 | Duration: 2001.978ms | Status: 200
2025-07-23 20:13:13 | GET /swagger/index.html | Duration: 85.499ms | Status: 200
2025-07-23 20:13:14 | GET /swagger/v1/swagger.json | Duration: 62.9874ms | Status: 200
2025-07-23 20:13:19 | GET /api/Customers/top5 | Duration: 1981.7269ms | Status: 200
2025-07-24 07:32:27 | GET /swagger/favicon-16x16.png | Duration: 30.5991ms | Status: 200
2025-07-24 07:32:27 | GET /swagger/v1/swagger.json | Duration: 104.3529ms | Status: 200
2025-07-24 07:32:48 | GET /api/Exceptions/id | Duration: 44.6553ms | Status: 404
2025-07-24 07:33:05 | GET /api/Exceptions/id | Duration: 2.0696ms | Status: 404
2025-07-24 07:33:49 | GET /api/Exceptions/id | Duration: 65.7509ms | Status: 404
2025-07-24 07:33:56 | GET /api/Exceptions/id | Duration: 2.7636ms | Status: 404
2025-07-24 07:33:59 | GET /swagger/index.html | Duration: 67.9213ms | Status: 200
2025-07-24 07:33:59 | GET /swagger/favicon-16x16.png | Duration: 4.6846ms | Status: 200
2025-07-24 07:33:59 | GET /swagger/v1/swagger.json | Duration: 87.3134ms | Status: 200
2025-07-24 07:34:08 | GET /api/Exceptions/id | Duration: 1.2649ms | Status: 404
2025-07-24 07:34:44 | GET /swagger/index.html | Duration: 81.28ms | Status: 200
2025-07-24 07:34:45 | GET /swagger/v1/swagger.json | Duration: 83.7745ms | Status: 200
2025-07-24 07:34:52 | GET /api/Exceptions/id | Duration: 41.7753ms | Status: 404
2025-07-24 07:35:44 | GET /api/Exceptions/id | Duration: 2.7249ms | Status: 404
2025-07-24 07:38:09 | GET /swagger/index.html | Duration: 75.1205ms | Status: 200
2025-07-24 07:38:09 | GET /swagger/favicon-16x16.png | Duration: 9.0336ms | Status: 200
2025-07-24 07:38:10 | GET /swagger/v1/swagger.json | Duration: 96.2884ms | Status: 200
2025-07-24 07:38:16 | GET /api/Exception/0 | Duration: 42.7985ms | Status: 404
2025-07-24 07:40:13 | GET /swagger/index.html | Duration: 81.1403ms | Status: 200
2025-07-24 07:40:14 | GET /swagger/v1/swagger.json | Duration: 88.7376ms | Status: 200
2025-07-24 07:40:22 | GET /api/Exception/0 | Duration: 47.7028ms | Status: 404
2025-07-24 07:40:33 | GET /api/Exception/10 | Duration: 2.2189ms | Status: 404
2025-07-24 07:41:26 | GET /swagger/index.html | Duration: 80.6609ms | Status: 200
2025-07-24 07:41:26 | GET /swagger/v1/swagger.json | Duration: 91.3514ms | Status: 200
2025-07-24 07:41:34 | GET /api/Exception/-1 | Duration: 53.4458ms | Status: 404
2025-07-24 07:42:24 | GET /api/Exception/-1 | Duration: 2.0975ms | Status: 404
2025-07-24 07:46:08 | GET /swagger/index.html | Duration: 88.0271ms | Status: 200
2025-07-24 07:46:09 | GET /swagger/v1/swagger.json | Duration: 92.4114ms | Status: 200
2025-07-24 07:46:16 | GET /api/Exception/-1 | Duration: 41.663ms | Status: 404
2025-07-24 07:46:28 | GET /api/Exception/0 | Duration: 2.4153ms | Status: 404
2025-07-24 07:46:34 | GET /api/Exception/10 | Duration: 1.4411ms | Status: 404
2025-07-24 07:48:03 | GET /swagger/index.html | Duration: 86.6251ms | Status: 200
2025-07-24 07:48:04 | GET /swagger/v1/swagger.json | Duration: 91.1039ms | Status: 200
2025-07-24 07:48:11 | GET /api/Exception/0 | Duration: 39.0969ms | Status: 404
2025-07-24 07:48:18 | GET /api/Exception/-1 | Duration: 3.2385ms | Status: 404
2025-07-24 07:48:33 | GET /api/Exception/11 | Duration: 1.0912ms | Status: 404
2025-07-24 07:52:10 | GET /api/Exception/-1 | Duration: 1.2441ms | Status: 404
2025-07-24 07:52:13 | GET /api/Exception/-1 | Duration: 0.9478ms | Status: 404
2025-07-24 07:52:13 | GET /api/Exception/-1 | Duration: 0.8678ms | Status: 404
2025-07-24 07:52:19 | GET /api/Exception/11 | Duration: 1.0892ms | Status: 404
2025-07-24 07:52:23 | GET /api/Exception/-1 | Duration: 1.0497ms | Status: 404
2025-07-24 07:57:08 | GET /swagger/index.html | Duration: 78.5978ms | Status: 200
2025-07-24 07:57:08 | GET /swagger/v1/swagger.json | Duration: 87.4917ms | Status: 200
2025-07-24 07:57:15 | GET /api/Exception/-1 | Duration: 27.5208ms | Status: 200
2025-07-24 08:04:32 | GET /api/Exception/-1 | Duration: 1.6178ms | Status: 200
2025-07-24 08:04:59 | GET /api/Exception/-1 | Duration: 42.637ms | Status: 200
2025-07-24 08:05:02 | GET /api/Exception/-1 | Duration: 2.2184ms | Status: 200
